id,exercise,activity
1,Abs,Crunch
2,Abs,Handing Leg Raise
3,Abs,Lower Leg Raise
4,Abs,Bird-dog
5,Abs,Plank
6,Abs,Reverse crunch
7,Abs,Abs roll-out
8,Back,Deadlift
9,Back,Bent-Over row
10,Back,TRX row
11,Back,Inverted row
12,Back,Lat Pulldown
13,Bicep,Barbell Curl
14,Bicep,Dumbell Curl
15,Bicep,Incline Dumbell curl
16,Bicep,Hammer curl
17,Cardio,Cycling
18,Cardio,Running
19,Cardio,Jogging or jogging in place
20,Cardio,Burpees
21,Cardio,Bear crawls
22,Cardio,Swimming
23,Chest,Dumbbell Bench Press
24,Chest,Incline Bench Press
25,Chest,Decline Press
26,Chest,Machine Chest Press
27,Chest,Push-Up
28,Chest,Chest Fly
29,Shoulders,Barbell Overhead Press
30,Shoulders,Half-Kneeling Landmine Press
31,Shoulders,Arnold Press
32,Shoulders,Push Press
33,Shoulders,Bottoms-Up Kettlebell Press
34,Shoulders,Wide-Grip Seated Row
35,Shoulders,Leaning Away Lateral Raise
36,Legs,Squats
37,Legs,Lunges
38,Legs,Plank leg lifts
39,Legs,Single-leg deadlifts
40,Legs,Stability ball knee tucks
41,Legs,Step-ups
42,Legs, Box jumps
43,Legs,Speedskater jumps
44,Triceps,Diamond Push-Ups
45,Triceps,Kickbacks
46,Triceps,Dips
47,Triceps,Overhead Triceps Extensions
48,Triceps,Rope Pushdowns
49,Triceps,Bar Pushdowns